epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,159.852,0.95923,0.96974,0.99939,0.11763,0.00332984,0.00332984,0.00332984
2,347.479,0.17416,0.98686,1,0.03907,0.00665666,0.00665666,0.00665666
3,526.434,0.11702,0.97372,1,0.06828,0.00995749,0.00995749,0.00995749
4,710.261,0.13203,0.97876,1,0.07622,0.00991232,0.00991232,0.00991232
5,901.014,0.09815,0.99083,1,0.0248,0.00984449,0.00984449,0.00984449
6,1075.36,0.07935,0.99542,1,0.01218,0.00975773,0.00975773,0.00975773
7,1234.91,0.06789,0.99633,1,0.00903,0.00965239,0.00965239,0.00965239
8,1395.61,0.06297,0.99526,1,0.01024,0.00952889,0.00952889,0.00952889
9,1556.63,0.05508,0.99526,1,0.01246,0.00938772,0.00938772,0.00938772
10,1717.92,0.05447,0.99817,1,0.00664,0.00922942,0.00922942,0.00922942
11,1884.11,0.05528,0.99771,1,0.00544,0.00905463,0.00905463,0.00905463
12,2040.74,0.04883,0.99633,1,0.00834,0.00886404,0.00886404,0.00886404
13,2200.79,0.05295,0.99587,1,0.00739,0.00865839,0.00865839,0.00865839
14,2361.25,0.03945,0.99786,1,0.00649,0.00843851,0.00843851,0.00843851
15,2513.3,0.04065,0.99939,1,0.00342,0.00820525,0.00820525,0.00820525
16,2686.29,0.0483,0.99908,1,0.0031,0.00795954,0.00795954,0.00795954
17,2872.22,0.04451,0.99878,1,0.00342,0.00770234,0.00770234,0.00770234
18,3055.68,0.03935,0.99908,1,0.00331,0.00743468,0.00743468,0.00743468
19,3241.46,0.03554,0.99939,1,0.00204,0.00715761,0.00715761,0.00715761
20,3409.97,0.03362,0.99969,1,0.00145,0.00687222,0.00687222,0.00687222
21,3579.81,0.03457,0.99939,1,0.00186,0.00657963,0.00657963,0.00657963
22,3750.8,0.03646,0.99939,1,0.00213,0.00628101,0.00628101,0.00628101
23,3928.43,0.03246,0.99969,1,0.00129,0.00597754,0.00597754,0.00597754
24,4102.04,0.02979,0.99939,1,0.00148,0.0056704,0.0056704,0.0056704
25,4273.05,0.02518,0.99924,1,0.00134,0.00536081,0.00536081,0.00536081
26,4442.48,0.02557,0.99969,1,0.00116,0.00505,0.00505,0.00505
27,4610.32,0.02857,0.99969,1,0.00106,0.00473919,0.00473919,0.00473919
28,4778.62,0.01968,1,1,0.00092,0.0044296,0.0044296,0.0044296
29,4959.87,0.01852,0.99969,1,0.00087,0.00412246,0.00412246,0.00412246
30,5146.26,0.01482,0.99969,1,0.00085,0.00381899,0.00381899,0.00381899
31,5341.89,0.01662,1,1,0.00076,0.00352037,0.00352037,0.00352037
32,5521.34,0.01468,1,1,0.00065,0.00322778,0.00322778,0.00322778
33,5708.54,0.01427,1,1,0.00058,0.00294239,0.00294239,0.00294239
34,5884.38,0.01309,1,1,0.00053,0.00266532,0.00266532,0.00266532
35,6065.9,0.01184,1,1,0.00051,0.00239766,0.00239766,0.00239766
36,6237.22,0.01164,1,1,0.00049,0.00214046,0.00214046,0.00214046
37,6403.45,0.01056,1,1,0.00048,0.00189475,0.00189475,0.00189475
38,6570.22,0.01069,1,1,0.00048,0.00166149,0.00166149,0.00166149
39,6747.23,0.01017,1,1,0.00048,0.00144161,0.00144161,0.00144161
40,6914.64,0.00898,1,1,0.00048,0.00123596,0.00123596,0.00123596
41,7095.13,0.00885,1,1,0.00047,0.00104537,0.00104537,0.00104537
42,7268.42,0.00862,1,1,0.00048,0.000870577,0.000870577,0.000870577
43,7448.02,0.00731,1,1,0.00048,0.000712282,0.000712282,0.000712282
44,7626.41,0.00765,1,1,0.00048,0.000571106,0.000571106,0.000571106
45,7801.81,0.007,1,1,0.00048,0.000447606,0.000447606,0.000447606
46,7982.6,0.00704,1,1,0.00048,0.00034227,0.00034227,0.00034227
47,8155.84,0.00664,1,1,0.00048,0.000255513,0.000255513,0.000255513
48,8322.65,0.00615,1,1,0.00048,0.000187678,0.000187678,0.000187678
49,8495.09,0.00698,1,1,0.00048,0.000139032,0.000139032,0.000139032
50,8690.68,0.00697,1,1,0.00048,0.000109768,0.000109768,0.000109768
